trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,steps,cover_visits,stop_reason,wall_s
163,13,13,0,4060.557,16457.785,118,26,26,7,certificate,1.185
164,15,15,0,5157.625,21043.126,151,33,34,7,certificate,1.585
165,11,11,0,3939.077,15805.387,121,23,23,7,certificate,1.250
166,15,15,0,3833.538,15812.688,100,31,31,7,certificate,1.510
167,16,16,0,4582.455,19532.276,100,31,31,7,certificate,1.195
168,11,11,0,3819.996,15234.981,120,26,26,7,certificate,1.248
169,15,15,0,4380.568,18187.841,112,29,29,7,certificate,1.215
170,12,12,0,3922.633,15688.165,121,27,27,7,certificate,1.219
171,10,10,0,5856.992,19819.960,345,28,30,7,certificate,2.107
172,16,16,0,4331.029,18150.147,105,31,31,7,certificate,1.410
173,14,14,0,4286.890,17719.451,113,32,32,7,certificate,1.446
174,13,13,0,3736.929,14609.644,125,26,26,7,certificate,1.490
175,16,16,0,4271.467,17372.337,119,34,34,7,certificate,1.300
176,14,14,0,5278.934,18349.669,286,33,34,7,certificate,1.817
177,11,11,0,3795.842,15029.209,122,27,27,7,certificate,1.263
178,10,10,0,4446.079,17945.394,136,31,31,7,certificate,1.610
179,11,11,0,5491.122,19590.610,281,29,30,7,certificate,1.995
180,16,16,0,6123.643,22898.217,269,31,32,7,certificate,1.779
181,13,13,0,4092.200,16506.000,121,27,27,7,certificate,1.448
182,14,14,0,3760.857,15069.284,113,26,26,7,certificate,1.101
183,10,10,0,4290.144,17090.721,138,25,25,7,certificate,1.413
184,16,16,0,4971.905,21299.523,107,32,32,7,certificate,1.273
185,12,12,0,3748.243,15016.216,115,30,30,7,certificate,1.440
186,16,16,0,4152.976,16969.881,114,35,35,7,certificate,1.384
187,14,14,0,4344.360,17601.799,126,28,28,7,certificate,1.238
188,16,16,0,3918.299,16166.495,102,29,29,7,certificate,1.304
189,13,13,0,5206.193,19160.963,240,29,30,7,certificate,1.648
190,14,14,0,4298.758,17428.791,124,27,27,7,certificate,1.232
191,15,15,0,4459.086,18450.429,116,29,29,7,certificate,1.420
192,11,11,0,3568.631,13933.153,122,26,26,7,certificate,1.415
193,13,13,0,3790.516,15112.582,117,25,25,7,certificate,1.412
194,11,11,0,3373.085,13310.425,109,23,23,7,certificate,1.450
195,10,10,0,3948.399,15696.996,128,26,26,7,certificate,1.466
196,12,12,0,4153.585,17137.927,113,29,29,7,certificate,1.470
197,10,10,0,3873.138,15295.689,128,26,26,7,certificate,1.439
198,13,13,0,4535.373,18546.863,126,28,28,7,certificate,1.340
199,14,14,0,3894.750,15848.751,111,27,27,7,certificate,1.161
200,16,16,0,4729.025,20465.123,94,32,32,7,certificate,1.373
201,13,13,0,4913.806,20269.032,133,28,28,7,certificate,1.401
202,11,11,0,3581.302,14376.508,109,25,25,7,certificate,1.362
203,16,16,0,4763.572,20032.858,114,31,31,7,certificate,1.629
204,14,14,0,3999.019,16065.093,120,28,28,7,certificate,1.355
205,16,16,0,7208.929,23324.643,472,33,35,7,certificate,2.087
206,13,13,0,5202.248,21206.241,155,29,31,7,certificate,1.458
207,12,12,0,4576.576,19047.880,119,26,26,7,certificate,1.419
208,12,12,0,4425.075,18710.377,104,27,27,7,certificate,1.313
209,14,14,0,4122.449,16827.243,115,30,30,7,certificate,1.367
210,10,10,0,3404.329,13096.643,123,26,26,7,certificate,1.511
211,10,10,0,4072.667,16298.337,128,26,26,7,certificate,1.722
212,16,16,0,5205.542,21662.711,133,36,36,7,certificate,1.373
213,14,14,0,4578.699,19103.494,116,33,33,7,certificate,1.274
214,16,16,0,4985.954,20584.772,132,35,35,7,certificate,1.513
215,12,12,0,3723.070,14960.349,113,26,26,7,certificate,1.447
216,16,16,0,4162.094,17040.472,114,32,32,7,certificate,1.251
217,14,14,0,4408.998,17954.989,126,31,31,7,certificate,1.659
218,15,15,0,6279.312,22401.560,321,30,31,7,certificate,1.648
219,10,10,0,4397.283,18091.414,122,25,25,7,certificate,1.403
220,14,14,0,5028.657,21118.283,123,30,30,7,certificate,1.195
221,16,16,0,4059.620,16358.099,118,29,29,7,certificate,1.209
222,14,14,0,4316.178,17855.889,113,28,28,7,certificate,1.298
223,10,10,0,4626.326,19211.629,123,27,27,7,certificate,1.188
224,13,13,0,6174.475,21612.373,334,31,32,7,certificate,2.073
225,11,11,0,3912.318,15751.588,118,25,25,7,certificate,1.326
226,13,13,0,4114.985,16729.927,118,25,25,7,certificate,1.291
227,11,11,0,3824.563,14972.817,130,24,24,7,certificate,1.267
228,11,11,0,4280.168,17190.838,132,28,28,7,certificate,1.526
229,13,13,0,4067.800,16648.999,113,28,28,7,certificate,1.295
230,16,16,0,4201.014,17210.069,114,35,35,7,certificate,1.336
231,16,16,0,4685.453,19257.263,125,32,32,7,certificate,1.269
232,16,16,0,4322.330,17936.648,110,35,35,7,certificate,1.325
233,16,16,0,4863.932,16874.659,264,28,29,7,certificate,1.723
234,14,14,0,3784.431,15167.154,114,32,32,7,certificate,1.540
235,11,11,0,4011.257,15926.287,128,26,26,7,certificate,1.333
236,11,11,0,4413.988,18139.938,122,25,25,7,certificate,1.444
237,12,12,0,4803.059,20190.297,118,27,27,7,certificate,1.508
238,13,13,0,4647.684,19113.421,131,28,29,7,certificate,1.346
239,12,12,0,4439.356,18356.779,119,28,28,7,certificate,1.333
240,15,15,0,4219.759,17463.795,109,32,32,7,certificate,1.278
241,12,12,0,3910.783,16048.915,107,26,26,7,certificate,1.383
242,14,14,0,4369.950,17794.752,124,28,28,7,certificate,1.265
243,13,13,0,3712.157,14685.784,119,29,29,7,certificate,1.224
244,14,14,0,5303.817,19334.083,250,33,34,7,certificate,1.568
245,16,16,0,4160.813,17109.066,110,32,32,7,certificate,1.355
246,16,16,0,4600.978,19309.890,111,34,34,7,certificate,1.332
247,16,16,0,4445.651,18213.253,123,35,35,7,certificate,1.390
248,12,12,0,4886.250,20326.251,127,30,30,7,certificate,1.449
249,13,13,0,3657.097,14650.486,111,25,25,7,certificate,1.097
250,13,13,0,5572.460,18557.302,335,31,32,7,certificate,1.579
251,16,16,0,4912.667,20083.337,140,32,33,7,certificate,1.160
252,10,10,0,5314.484,17807.421,317,28,29,7,certificate,1.884
253,10,10,0,4011.308,15596.541,141,28,28,7,certificate,1.637
254,15,15,0,4244.137,16970.684,129,30,30,7,certificate,1.262
255,12,12,0,5311.866,18374.329,293,28,29,7,certificate,1.495
256,16,16,0,4812.300,20031.499,122,37,37,7,certificate,1.174
257,16,16,0,4116.594,16817.970,113,33,33,7,certificate,1.285
258,13,13,0,5782.504,20092.519,317,28,29,7,certificate,1.949
259,14,14,0,4609.275,19001.374,124,30,30,7,certificate,1.349
260,13,13,0,4711.125,19920.627,111,29,29,7,certificate,1.171
261,14,14,0,6143.105,21940.523,317,33,34,7,certificate,2.009
262,13,13,0,5642.987,18689.937,346,27,28,7,certificate,1.625
263,11,11,0,3790.002,15180.012,117,23,23,7,certificate,1.174
264,10,10,0,3658.119,14425.593,121,22,22,7,certificate,1.139
265,10,10,0,3936.420,15887.098,118,25,25,7,certificate,1.344
266,12,12,0,4508.513,18832.564,115,26,26,7,certificate,1.365
267,15,15,0,5524.801,20759.006,236,31,32,7,certificate,1.409
268,10,10,0,6377.025,21815.124,368,25,26,7,certificate,1.859
269,13,13,0,5356.422,20932.112,201,29,30,7,certificate,1.148
270,16,16,0,4422.237,18326.183,114,30,30,7,certificate,1.109
271,14,14,0,5330.516,22562.581,125,30,30,7,certificate,1.154
272,16,16,0,4723.564,19572.820,122,32,32,7,certificate,1.379
273,10,10,0,3959.674,15903.369,123,27,27,7,certificate,1.464
274,15,15,0,7112.047,23120.235,460,37,39,7,certificate,2.130
275,14,14,0,4080.823,16434.113,122,30,30,7,certificate,1.186
276,12,12,0,4401.513,18022.563,124,29,29,7,certificate,1.158
277,10,10,0,3793.431,15007.153,124,21,21,7,certificate,1.220
278,12,12,0,4783.386,17656.929,216,25,26,7,certificate,1.504
279,16,16,0,5001.205,21256.025,112,30,30,7,certificate,1.225
280,12,12,0,4335.763,17528.814,129,29,29,7,certificate,1.591
281,15,15,0,5261.387,18581.934,270,31,32,7,certificate,1.529
282,14,14,0,6168.051,21250.254,347,32,33,7,certificate,1.768
283,12,12,0,3816.489,15517.444,110,26,26,7,certificate,1.164
284,15,15,0,5737.198,19360.989,337,31,32,7,certificate,1.764
285,10,10,0,3969.590,15957.952,122,26,26,7,certificate,1.420
286,15,15,0,4823.864,20319.319,116,34,34,7,certificate,1.348
287,14,14,0,4787.280,19726.399,129,28,28,7,certificate,1.276
288,16,16,0,3983.669,16523.344,101,27,27,7,certificate,0.790
289,13,13,0,4604.304,17326.518,193,26,27,7,certificate,1.165
290,12,12,0,4025.727,16288.635,119,26,26,7,certificate,1.034
291,15,15,0,4752.563,19562.817,128,31,31,7,certificate,1.314
292,11,11,0,3477.752,13458.759,122,21,21,7,certificate,1.264
293,15,15,0,6575.287,27816.434,159,38,39,7,certificate,1.557
294,16,16,0,4203.170,16640.850,138,29,30,7,certificate,1.204
295,15,15,0,4451.160,18235.801,122,33,33,7,certificate,1.238
296,13,13,0,4464.500,18302.498,124,29,29,7,certificate,1.237
297,16,16,0,4513.609,18713.044,116,32,32,7,certificate,1.204
298,11,11,0,4301.801,17844.006,114,29,29,7,certificate,1.817
299,16,16,0,5964.193,21360.966,296,38,39,7,certificate,1.657
300,10,10,0,3977.789,15958.945,123,24,24,7,certificate,1.209
301,16,16,0,5392.877,18684.386,294,32,33,7,certificate,1.526
302,16,16,0,4482.257,18741.286,110,36,36,7,certificate,1.329
303,10,10,0,4078.478,16337.390,128,21,21,7,certificate,1.290
304,10,10,0,3834.249,15246.243,123,24,24,7,certificate,1.522
305,13,13,0,3668.320,14331.600,124,30,30,7,certificate,1.056
306,12,12,0,3619.490,14157.449,122,24,24,7,certificate,1.069
307,10,10,0,5335.062,17810.310,321,25,26,7,certificate,1.824
308,11,11,0,4288.799,17458.996,125,26,26,7,certificate,1.330
309,12,12,0,4197.964,17044.820,122,28,28,7,certificate,1.218
310,13,13,0,4162.854,16859.269,122,30,30,7,certificate,1.302
311,11,11,0,4019.859,16264.297,120,28,28,7,certificate,1.400
312,10,10,0,4450.667,17778.333,141,24,24,7,certificate,1.092
313,13,13,0,4490.837,18289.184,129,30,30,7,certificate,1.315
314,15,15,0,5538.294,19426.472,293,28,29,7,certificate,1.834
315,16,16,0,4412.225,18411.126,110,31,31,7,certificate,1.255
316,15,15,0,4246.839,17319.197,119,33,33,7,certificate,1.467
317,14,14,0,3776.718,15088.592,115,27,27,7,certificate,1.417
318,13,13,0,4285.846,17769.232,112,27,27,7,certificate,1.172
319,16,16,0,4188.189,17500.945,102,27,27,7,certificate,0.835
320,16,16,0,4363.239,17941.197,117,30,30,7,certificate,1.230
321,15,15,0,4129.628,16763.142,119,31,31,7,certificate,1.366
322,12,12,0,3543.208,14016.039,114,24,24,7,certificate,1.257
323,12,12,0,4358.962,17719.812,128,29,29,7,certificate,1.654
324,10,10,0,3658.800,14254.000,127,25,25,7,certificate,1.121
325,16,16,0,5989.290,20906.449,322,35,36,7,certificate,1.592
326,11,11,0,3687.078,14855.388,111,27,27,7,certificate,1.426
327,15,15,0,4456.210,18701.050,109,33,34,7,certificate,1.463
328,12,12,0,4278.960,17414.802,124,26,26,7,certificate,1.320
329,16,16,0,5618.759,19553.794,306,35,36,7,certificate,1.966
330,15,15,0,7933.795,25128.977,542,36,38,7,certificate,2.531
331,15,15,0,4693.297,19816.487,110,32,32,7,certificate,1.095
332,16,16,0,4278.768,17433.842,120,31,31,7,certificate,1.355
333,14,14,0,4154.641,16928.204,117,31,31,7,certificate,1.384
334,12,12,0,4731.240,16256.202,261,27,28,7,certificate,1.627
335,14,14,0,4179.584,17072.920,116,32,32,7,certificate,1.329
336,15,15,0,6438.015,24335.075,278,37,38,7,certificate,2.023
337,16,16,0,4673.698,19593.489,113,34,34,7,certificate,1.010
338,11,11,0,4038.731,16178.653,126,24,24,7,certificate,1.037
339,10,10,0,5451.447,20582.235,232,27,28,7,certificate,1.593
340,15,15,0,4290.359,17471.794,121,31,31,7,certificate,1.448
341,15,15,0,4484.883,18764.417,111,32,32,7,certificate,1.372
342,11,11,0,3335.269,13116.345,110,27,27,7,certificate,1.236
343,15,15,0,5177.577,21812.886,123,30,30,7,certificate,1.315
344,11,11,0,5094.746,16623.732,319,27,28,7,certificate,1.874
345,16,16,0,5734.392,20951.960,271,30,31,7,certificate,1.703
346,16,16,0,3704.396,14881.978,109,28,28,7,certificate,1.233
347,12,12,0,3932.819,16224.096,105,22,22,7,certificate,1.195
348,11,11,0,3740.262,14936.312,117,21,21,7,certificate,1.392
349,12,12,0,5506.683,20558.414,240,26,27,7,certificate,1.558
350,11,11,0,3987.263,15681.313,133,27,27,7,certificate,1.364
351,13,13,0,5013.996,20854.982,133,32,33,7,certificate,1.571
352,16,16,0,4342.718,18138.591,106,34,34,7,certificate,1.383
353,15,15,0,4636.316,19401.582,115,33,33,7,certificate,1.093
354,14,14,0,4415.376,18171.879,119,29,29,7,certificate,1.429
355,15,15,0,4882.022,21005.112,103,29,29,7,certificate,1.333
356,15,15,0,4370.610,18243.052,109,29,29,7,certificate,1.079
357,16,16,0,3659.648,14813.238,103,31,32,7,certificate,1.334
358,16,16,0,5808.266,24571.330,138,37,37,7,certificate,1.507
359,12,12,0,3749.034,14370.169,141,27,28,7,certificate,1.516
360,13,13,0,3817.354,15021.769,124,28,28,7,certificate,1.377
361,12,12,0,3900.593,15657.963,119,26,26,7,certificate,1.497
362,14,14,0,3973.453,16297.265,109,27,27,7,certificate,1.082
363,10,10,0,4779.811,17789.056,211,25,26,7,certificate,1.374
364,10,10,0,3947.174,15660.868,128,25,25,7,certificate,1.408
365,14,14,0,4109.688,16968.439,109,31,31,7,certificate,1.518
366,16,16,0,4280.036,18170.182,95,28,28,7,certificate,1.195
367,11,11,0,3743.851,15009.255,115,24,24,7,certificate,1.045
368,16,16,0,4492.535,18787.676,110,31,31,7,certificate,1.608
369,10,10,0,4310.593,17312.965,134,28,28,7,certificate,1.244
370,16,16,0,4443.426,18622.129,107,31,31,7,certificate,1.054
371,16,16,0,4179.686,17418.431,104,32,32,7,certificate,1.368
372,13,13,0,4387.127,17735.634,130,29,29,7,certificate,1.556
373,16,16,0,4913.132,20930.659,109,35,35,7,certificate,1.237
374,16,16,0,4102.712,16748.562,113,27,27,7,certificate,1.133
375,14,14,0,4365.643,17818.216,122,30,30,7,certificate,1.317
376,15,15,0,4420.462,18287.308,116,32,32,7,certificate,1.059
377,14,14,0,5349.225,19191.126,266,31,32,7,certificate,1.405
378,14,14,0,4155.730,16643.650,127,32,32,7,certificate,1.370
379,13,13,0,4224.468,17302.338,117,29,29,7,certificate,1.380
380,10,10,0,3164.158,12340.788,108,25,25,7,certificate,1.363
381,16,16,0,4903.455,20762.277,112,33,33,7,certificate,1.219
382,10,10,0,5559.352,18756.759,324,32,33,7,certificate,1.962
383,12,12,0,5868.641,19323.206,364,29,31,7,certificate,1.507
384,15,15,0,4918.153,20035.766,143,32,33,7,certificate,1.099
385,12,12,0,4264.774,17418.872,121,27,27,7,certificate,1.370
386,12,12,0,3842.400,15482.001,115,26,26,7,certificate,1.437
387,10,10,0,3464.368,13296.840,126,24,24,7,certificate,1.384
388,14,14,0,4638.335,19596.673,109,33,33,7,certificate,1.142
389,15,15,0,4480.703,18543.513,118,30,30,7,certificate,1.044
390,11,11,0,3837.981,15819.906,104,27,27,7,certificate,1.156
391,14,14,0,4824.955,20274.774,117,30,30,7,certificate,1.098
392,12,12,0,4085.008,16255.042,129,26,26,7,certificate,1.232
393,16,16,0,4141.695,17148.476,106,32,32,7,certificate,1.115
394,14,14,0,6291.296,22011.479,339,36,37,7,certificate,1.766
395,14,14,0,4723.937,20189.685,103,28,28,7,certificate,0.982
396,11,11,0,3891.546,15597.728,121,26,26,7,certificate,0.952
397,16,16,0,4360.105,18065.525,111,29,29,7,certificate,0.901
398,14,14,0,5051.950,20939.752,136,30,31,7,certificate,1.214
399,11,11,0,3920.493,16082.466,109,26,26,7,certificate,1.251
400,16,16,0,4717.821,19844.107,112,35,35,7,certificate,1.082
401,14,14,0,3962.348,15956.738,118,32,32,7,certificate,1.135
402,10,10,0,3703.651,14728.255,119,25,25,7,certificate,1.001
403,11,11,0,4165.416,16892.078,123,27,27,7,certificate,0.938
404,10,10,0,4038.330,16291.651,123,23,23,7,certificate,1.013
405,14,14,0,6741.090,20435.451,491,32,34,7,certificate,2.008
406,16,16,0,4756.548,19777.739,120,34,34,7,certificate,1.201
407,10,10,0,3635.751,14048.755,130,24,24,7,certificate,1.209
